dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2013-02-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5
2013-04-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,5
2013-05-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5
2018-11-01,1,1,1,1,1,0,0,66,1,1,0,0,0,0,0,5,0,68,5
2018-12-01,13,2,2,3,1,23,0,172,1,7,200,1,0,0,0,14,2,181,5
2019-01-01,27,12,13,18,4,35,0,52,1,19,270,7,0,0,0,1,2,21,5
2019-02-01,40,27,37,32,4,62,0,130,2,45,111,3,0,0,0,1,1,53,5
