dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2017-05-01,19,12,15,11,4,86,10,29,2,24,1,2,0,2,1,5,2,17,3
2017-06-01,6,5,5,5,4,21,113,17,2,5,0,0,0,2,1,3,3,6,3
2017-07-01,15,6,7,11,4,47,111,33,2,7,1,0,0,2,1,8,10,11,3
2017-08-01,25,13,14,16,8,180,62,43,3,29,1,1,0,2,1,8,5,10,3
2017-09-01,7,3,4,4,4,51,14,20,1,4,2,2,0,2,1,3,2,7,3
2017-10-01,8,3,4,6,3,27,27,11,2,6,3,1,0,2,1,0,0,7,3
2017-11-01,7,2,2,3,3,27,10,7,2,3,0,1,0,2,1,1,2,4,3
2017-12-01,3,1,2,2,3,35,3,13,1,4,1,1,0,2,1,0,1,6,3
2018-01-01,0,1,1,0,2,8,1,3,1,1,0,0,0,2,1,0,0,2,3
2018-02-01,7,5,5,4,3,44,12,10,2,9,2,3,0,2,1,0,5,8,3
2018-03-01,22,7,10,14,6,48,51,26,2,14,6,7,0,2,1,7,6,8,3
2018-04-01,23,5,8,9,4,111,19,11,3,19,1,2,0,2,1,4,3,9,3
2018-05-01,21,11,15,13,4,57,42,43,3,19,3,2,0,2,1,11,7,19,3
2018-06-01,29,16,21,22,4,55,115,54,2,26,4,2,0,2,1,9,6,25,3
2018-07-01,20,12,16,16,4,48,105,42,3,17,7,0,0,2,1,2,5,18,3
2018-08-01,30,21,23,24,7,134,105,103,3,28,2,0,0,2,1,8,2,22,3
2018-09-01,21,13,14,7,4,64,21,50,2,21,2,2,0,2,1,7,6,21,3
2018-10-01,14,6,11,10,3,43,41,43,2,12,3,1,0,2,1,4,11,22,3
2018-11-01,19,12,13,9,5,64,31,33,3,17,5,2,0,2,1,3,5,12,3
2018-12-01,16,6,6,6,5,53,6,20,3,9,3,1,1,2,1,1,0,7,3
2019-01-01,8,4,4,5,3,27,0,21,2,6,3,0,0,2,1,2,3,10,3
2019-02-01,18,12,12,11,4,63,13,40,3,25,2,2,0,2,1,4,2,19,3
2019-03-01,14,6,8,10,6,92,10,36,2,15,4,3,0,2,1,1,4,9,3
2019-04-01,10,3,3,6,3,25,8,22,1,5,5,0,0,2,1,1,3,10,3
2019-05-01,16,9,9,9,3,56,20,47,3,14,1,2,0,2,1,1,3,23,3
2019-07-01,5,2,2,3,3,18,3,6,1,2,8,1,0,2,1,0,2,3,3
2019-08-01,10,3,3,6,4,19,0,11,1,3,1,5,0,2,1,7,3,4,3
2019-09-01,11,8,8,5,5,70,26,34,2,20,3,1,0,2,1,3,3,12,3
2019-10-01,9,4,4,5,5,31,6,20,2,6,5,2,0,2,1,5,2,6,3
2019-11-01,5,2,2,4,4,19,0,11,1,2,3,3,0,2,1,3,1,3,3
2019-12-01,2,0,0,2,2,5,2,4,0,0,1,1,0,2,1,0,0,2,3
2020-01-01,6,6,6,4,5,24,6,11,1,6,6,4,1,2,1,4,1,4,3
2020-02-01,6,2,3,5,3,28,2,11,2,3,1,0,0,2,1,2,2,5,3
2020-03-01,25,13,16,17,8,84,32,39,3,18,1,3,0,2,1,4,1,9,3
2020-04-01,26,10,12,12,5,50,17,38,3,16,1,1,0,2,1,1,2,13,3
2020-05-01,16,9,13,14,3,35,21,38,2,19,2,0,0,2,1,12,3,23,3
2020-06-01,27,10,14,17,4,68,94,55,3,23,0,0,0,2,1,11,6,23,3
2020-07-01,21,16,18,15,3,22,188,22,2,23,2,0,0,2,1,2,0,21,3
2020-08-01,26,16,16,17,5,37,198,45,3,19,3,1,0,2,1,9,4,16,3
2020-09-01,14,9,10,8,8,54,21,33,3,18,4,1,0,2,1,3,2,7,3
2020-10-01,14,7,7,9,7,33,21,22,2,10,6,2,0,2,1,2,0,5,3
2020-11-01,15,7,10,10,7,44,6,52,3,14,5,0,0,2,1,9,4,10,3
2020-12-01,9,3,4,4,7,22,10,44,3,8,3,3,0,2,1,6,1,8,3
2021-01-01,15,5,6,10,6,41,8,62,2,11,4,1,0,2,1,6,0,13,3
2021-02-01,8,2,3,0,6,20,4,24,1,3,2,0,0,2,1,4,0,5,3
2021-03-01,5,4,5,5,3,16,3,86,2,5,2,2,0,2,1,68,4,32,3
2021-04-01,19,7,7,14,4,25,1,12,1,7,1,3,0,2,1,2,0,6,3
2021-05-01,2,9,9,2,7,23,39,16,1,10,2,1,0,2,1,3,2,5,3
2021-06-01,6,4,4,3,4,27,12,22,1,6,2,3,0,2,1,3,1,8,3
2021-07-01,11,12,12,7,5,63,24,60,2,15,2,2,0,2,1,12,4,17,3
2021-08-01,6,3,3,4,4,27,9,30,3,5,3,0,0,2,1,4,0,9,3
2021-09-01,9,5,6,7,4,19,12,43,2,8,3,1,0,2,1,2,2,14,3
2021-10-01,1,0,0,0,1,13,1,1,0,2,3,2,0,2,1,0,0,3,3
2021-11-01,7,1,2,3,3,10,0,5,1,2,5,1,0,2,1,0,1,3,3
2021-12-01,5,1,1,3,5,28,0,9,1,2,2,0,0,2,1,1,1,2,3
2022-01-01,11,3,3,3,5,39,9,9,2,5,6,2,0,2,1,0,1,3,3
2022-02-01,15,5,5,7,5,20,3,11,2,9,4,4,0,2,1,2,1,5,3
