dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2019-05-01,57,41,46,41,15,0,0,109,10,78,13,5,0,0,1,11,6,15,4
2019-06-01,32,13,16,15,11,0,0,44,7,25,18,7,0,0,1,6,2,7,4
2019-07-01,38,20,24,24,7,0,0,49,7,43,26,2,0,0,1,3,3,16,4
2019-08-01,27,8,8,14,7,0,0,21,4,12,18,5,0,0,1,1,1,5,4
2019-09-01,45,20,24,29,9,0,0,42,7,37,17,7,0,0,1,1,0,11,4
2019-10-01,50,17,21,20,8,0,0,38,7,41,21,9,0,0,1,0,4,12,4
2019-11-01,24,11,14,13,7,0,0,31,5,24,15,6,0,0,1,1,6,9,4
2019-12-01,28,11,13,15,8,0,0,31,4,19,20,4,0,0,1,3,3,7,4
2020-01-01,32,8,11,13,6,0,0,18,4,17,19,2,0,0,1,0,0,7,4
2020-02-01,36,16,20,23,7,0,0,32,5,29,10,4,0,0,1,0,2,11,4
2020-03-01,67,19,27,38,12,0,0,188,6,49,68,9,0,0,1,71,18,22,4
2020-04-01,114,55,61,72,12,1,0,289,7,76,41,6,0,0,1,81,11,35,4
2020-05-01,129,77,87,91,14,0,0,345,5,103,24,7,0,0,1,38,18,38,4
2020-06-01,84,51,62,64,9,0,0,132,4,79,21,7,0,0,1,20,5,30,4
2020-07-01,75,39,51,44,7,0,0,124,4,60,23,6,0,0,1,25,16,33,4
2020-08-01,50,28,35,33,10,0,0,63,6,46,22,5,0,0,1,5,9,14,4
2020-09-01,42,17,19,21,8,1,0,42,4,46,15,3,0,0,1,4,0,13,4
2020-10-01,34,14,20,24,8,0,0,34,4,31,9,4,0,0,1,0,2,10,4
2020-11-01,36,10,13,13,10,0,0,22,5,23,22,8,0,0,1,2,0,5,4
2020-12-01,21,10,15,12,7,0,0,19,3,19,20,2,0,0,1,2,2,7,4
2021-01-01,27,19,29,20,9,0,0,48,5,39,9,1,0,0,1,10,7,12,4
2021-02-01,72,15,17,21,9,2,0,72,4,33,11,1,0,0,1,13,5,13,4
2021-03-01,70,38,55,52,10,0,0,107,5,69,14,3,0,0,1,15,14,23,4
2021-04-01,51,23,30,39,5,0,0,53,3,49,12,2,0,0,1,6,3,26,4
2021-05-01,34,17,25,26,4,0,0,41,2,39,12,1,0,0,1,1,4,26,4
2021-06-01,37,18,24,28,6,0,0,37,4,52,11,1,0,0,1,1,5,18,4
2021-07-01,54,27,33,32,4,1,0,52,3,46,10,1,0,0,1,3,0,32,4
2021-08-01,39,27,36,33,4,0,0,52,3,46,13,1,0,0,1,8,2,33,4
2021-09-01,13,4,4,6,3,0,0,9,1,9,9,4,0,0,1,0,4,7,4
2021-10-01,37,17,18,16,5,0,0,41,4,33,11,4,0,0,1,2,6,18,4
2021-11-01,22,6,9,13,6,0,0,25,3,12,14,2,0,0,1,10,3,7,4
2021-12-01,10,5,5,5,5,0,0,17,2,11,14,2,0,0,1,4,2,6,4
2022-01-01,16,7,9,9,3,0,0,32,1,13,21,4,0,0,1,3,5,18,4
2022-02-01,37,12,24,16,4,0,0,23,3,33,10,3,0,0,1,1,0,20,4
2022-03-01,30,18,19,21,6,0,0,33,3,36,17,4,0,0,1,1,2,14,4
2022-04-01,56,28,39,40,6,0,0,54,2,48,15,4,0,0,1,7,5,23,4
2022-05-01,15,11,18,12,4,1,0,20,2,26,13,1,0,0,1,1,0,16,4
2022-06-01,63,34,37,39,8,0,0,85,2,61,12,4,0,0,1,6,5,22,4
2022-07-01,42,23,31,32,6,4,0,72,1,44,16,1,0,0,1,9,10,24,4
2022-08-01,49,22,41,25,5,13,0,71,2,59,17,2,0,0,1,12,8,34,4
2022-09-01,35,11,23,24,6,0,0,47,2,39,12,2,0,0,1,8,0,18,4
2022-10-01,37,20,25,21,8,1,0,78,3,103,29,1,0,0,1,17,1,25,4
2022-11-01,34,15,19,21,5,0,0,30,3,30,17,2,0,0,1,3,0,15,4
2022-12-01,16,13,13,10,5,0,0,29,4,20,7,1,0,0,1,0,0,12,4
2023-01-01,27,9,10,14,5,0,0,23,2,20,12,8,0,0,1,0,1,10,4
2023-02-01,42,17,26,27,4,0,0,32,2,35,27,1,0,0,1,2,2,23,4
2023-03-01,2,1,3,1,2,0,0,3,1,7,2,0,0,0,1,3,5,6,4
