dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,monthly_watchers,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2018-03-01,11,9,9,9,2,0,0,35,1,11,1,1,1,2,2,0,27,27,1
2018-04-01,7,3,3,3,1,2,0,9,1,7,0,1,0,2,2,0,7,19,1
2018-05-01,7,6,6,7,2,0,0,30,1,7,2,0,1,2,2,7,6,21,1
2018-06-01,4,4,4,3,1,4,0,4,1,10,1,1,0,2,2,0,4,18,1
2018-07-01,10,8,8,8,1,0,0,22,1,12,0,1,0,2,2,0,22,42,1
2018-08-01,5,4,4,4,1,0,0,7,1,5,0,0,0,2,2,1,9,16,1
2018-09-01,11,6,6,6,1,2,0,6,1,8,0,0,0,2,2,0,14,20,1
2018-10-01,4,3,3,4,1,0,0,3,1,3,2,1,0,2,2,0,4,9,1
2018-11-01,4,2,2,2,1,0,0,2,1,3,0,1,1,2,2,0,14,7,1
2018-12-01,8,6,6,6,1,0,0,11,1,9,0,0,0,2,2,0,26,26,1
2019-01-01,7,4,4,4,1,0,0,9,1,6,0,1,0,2,2,0,2,19,1
2019-02-01,8,6,6,7,1,0,0,25,1,8,0,0,0,2,2,0,12,39,1
2019-03-01,28,14,14,12,2,0,0,85,1,26,3,0,0,2,2,6,24,62,1
2019-04-01,14,6,6,6,3,0,0,13,1,11,0,2,1,2,2,1,5,10,1
2019-05-01,14,10,10,10,1,0,0,14,1,14,0,0,0,2,2,3,7,38,1
2019-06-01,11,8,8,8,1,0,0,8,1,10,0,1,1,2,2,2,7,26,1
2019-07-01,5,4,4,4,1,0,0,4,1,6,0,0,0,2,2,1,3,14,1
2019-08-01,5,1,1,2,1,0,0,1,1,2,1,0,1,2,2,0,1,4,1
2019-09-01,12,9,9,9,2,0,0,9,1,13,0,0,2,2,2,1,3,15,1
2019-10-01,10,6,6,6,1,1,0,6,1,11,1,1,1,2,2,2,3,23,1
2019-11-01,13,9,9,10,2,1,0,9,1,10,0,0,0,2,2,2,5,14,1
2019-12-01,3,3,3,2,2,0,0,3,1,3,0,1,0,2,2,0,2,4,1
2020-01-01,7,5,5,7,2,0,0,5,1,5,2,1,0,2,2,1,6,7,1
2020-02-01,6,7,7,6,1,0,0,7,1,7,0,0,1,2,2,2,3,21,1
2020-03-01,6,3,3,3,1,0,0,3,1,5,0,0,1,2,2,1,2,11,1
2020-04-01,7,7,7,7,2,0,0,7,1,7,2,0,0,2,2,2,6,10,1
2020-05-01,5,4,4,4,2,0,0,4,1,6,1,2,0,2,2,1,3,7,1
2020-06-01,8,5,6,5,1,0,0,5,1,7,0,1,0,2,2,1,3,18,1
2020-07-01,3,3,3,3,2,0,0,3,1,3,1,1,2,2,2,1,3,4,1
2020-08-01,12,10,10,9,2,0,0,10,1,11,3,0,0,2,2,2,6,15,1
2020-09-01,8,5,5,5,2,0,0,5,1,8,1,1,0,2,2,2,4,9,1
2020-10-01,8,2,2,2,1,0,0,2,1,5,2,1,1,2,2,0,1,9,1
2020-12-01,8,5,6,7,1,0,0,5,1,7,6,1,0,2,2,2,4,18,1
2021-01-01,8,6,6,6,2,0,0,6,1,8,1,1,1,2,2,0,4,10,1
2021-02-01,5,4,4,3,1,0,0,4,1,6,0,2,0,2,2,0,3,14,1
2021-03-01,6,6,6,6,2,0,0,6,1,8,4,1,1,2,2,1,3,10,1
2021-04-01,12,8,10,9,3,1,0,8,1,12,1,2,0,2,2,1,6,10,1
2021-05-01,4,3,3,3,1,0,0,3,1,6,1,0,1,2,2,0,2,12,1
2021-06-01,1,1,1,1,1,0,0,1,1,1,2,0,0,2,2,0,0,3,1
2021-07-01,4,3,3,3,1,0,0,3,1,8,0,0,0,2,2,2,0,14,1
2021-08-01,4,4,4,4,1,0,0,4,1,4,0,1,1,2,2,1,4,12,1
2021-09-01,3,2,2,2,1,0,0,2,1,4,1,0,0,2,2,0,1,8,1
2021-10-01,4,1,1,1,1,0,0,1,1,3,1,1,0,2,2,0,1,5,1
2021-11-01,4,2,2,2,1,0,0,2,1,4,0,1,0,2,2,0,1,8,1
2021-12-01,3,2,2,2,1,0,0,2,1,2,0,1,1,2,2,0,2,6,1
2022-01-01,12,6,7,7,2,0,0,6,1,9,3,2,1,2,2,0,5,11,1
2022-02-01,11,11,11,11,2,0,0,11,1,11,0,1,0,2,2,2,8,16,1
2022-03-01,10,8,8,8,2,0,0,8,1,10,2,0,0,2,2,0,5,13,1
2022-04-01,2,1,1,2,1,0,0,1,1,1,1,1,0,2,2,1,1,3,1
2022-05-01,7,6,6,6,1,0,0,6,1,6,2,2,0,2,2,3,0,18,1
2022-06-01,8,5,5,4,2,0,0,5,1,7,2,0,0,2,2,3,4,8,1
2022-07-01,7,7,7,7,1,0,0,7,1,7,3,0,0,2,2,3,4,21,1
2022-08-01,5,3,3,3,1,0,0,3,1,9,2,1,0,2,2,0,2,15,1
2022-10-01,4,3,3,3,1,0,0,3,1,3,4,0,0,2,2,2,1,9,1
2022-11-01,9,5,5,5,1,0,0,5,1,6,2,1,0,2,2,3,2,16,1
2022-12-01,6,6,6,6,1,0,0,6,1,6,1,0,0,2,2,2,4,18,1
2023-02-01,5,4,4,4,1,0,0,4,1,4,0,2,0,2,2,0,4,12,1
2023-03-01,1,1,1,1,1,0,0,1,1,1,0,0,0,2,2,1,0,3,1
2015-05-01,0,0,1,0,2,0,0,55,0,1,0,0,2,2,2,0,14,28,1
