,0,1,2,3,4,5,6,7,8,9,10,11
0,-4,0,-7,2,0,-5,1,1,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,-3,0,-2,-1,-2,-3,-2,-3,-12,-12,-7,-11
3,4,0,3,9,5,7,4,8,8,6,5,7
4,0,0,-2,0,1,0,1,-3,-1,1,1,0
5,4,0,-9,3,-18,4,-1,1,6,1,-1,17
6,19,0,28,1,8,15,16,19,19,30,26,13
7,6,0,3,3,4,5,5,6,3,5,7,6
8,-3,0,1,-6,-4,1,-2,-2,-4,2,-3,1
9,-3,0,-2,0,-3,-2,-2,-2,-1,-1,-1,-2
